City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,kaa-khem,51.6833,94.7333,6.89,66,84,2.64,RU,1712807292
114,avarua,-21.2078,-159.775,28.03,83,75,7.2,CK,1712806983
115,puerto ayora,-0.7393,-90.3518,24.75,97,82,1.4,EC,1712806954
116,toliara,-23.35,43.6667,25.42,77,88,3.95,MG,1712807296
117,adra,36.7496,-3.0206,16.33,50,10,1.89,ES,1712807297
118,male,4.1748,73.5089,31.97,74,40,2.57,MV,1712807275
119,saldanha,-33.0117,17.9442,15.03,76,0,6.52,ZA,1712807157
120,sinabang,2.4803,96.3801,29.94,71,99,0.8,ID,1712807211
121,blackmans bay,-43.0167,147.3167,16.52,56,66,0.45,AU,1712807302
122,mayna,54.1135,47.6231,6.77,87,52,1.8,RU,1712807303
123,xai-xai,-25.0519,33.6442,22.31,79,93,8.0,MZ,1712807304
124,puerto natales,-51.7236,-72.4875,2.33,90,9,2.18,CL,1712807158
125,bovril,-31.3431,-59.4451,13.84,71,99,7.26,AR,1712807306
126,pauini,-7.7136,-66.9764,23.06,99,100,0.66,BR,1712807223
127,acapulco de juarez,16.8634,-99.8901,23.9,88,40,5.14,MX,1712807274
128,altagracia de orituco,9.8601,-66.3814,22.88,82,20,2.65,VE,1712807309
129,ta`u,-14.2336,-169.5144,29.24,77,46,4.44,AS,1712807310
130,arkalyk,50.2486,66.9114,3.3,69,100,4.35,KZ,1712807311
131,vadso,70.0744,29.7487,2.09,93,75,1.03,NO,1712807312
132,mount isa,-20.7333,139.5,27.87,24,41,5.14,AU,1712807315
133,puerto real,36.5282,-6.1901,14.58,67,0,0.0,ES,1712807316
134,jaithari,23.2333,78.6167,29.7,39,95,3.13,IN,1712807317
135,ola,59.5833,151.2833,0.63,68,74,2.81,RU,1712807212
136,mooloolaba,-26.6833,153.1167,26.83,73,0,1.79,AU,1712807083
137,kapuskasing,49.4169,-82.4331,3.05,93,40,1.03,CA,1712807320
138,lichinga,-13.3128,35.2406,16.99,96,100,1.58,MZ,1712807321
139,nevers,46.9167,3.3333,3.22,88,76,0.61,FR,1712807322
140,verkhnevilyuysk,63.4453,120.3167,-6.2,91,100,4.91,RU,1712807323
